ResourceName,Category,Resource Contact Person,CoalitionMember,Telephone,Email,Website,Address,Zipcode,Service Description
Master Food Mart,,,FALSE,,,,129 Louisiana St Buffalo . ,14204,
Camellia Meats,,,FALSE,,,,1333 Genesee St #1 Buffalo . ,14211,
Frank Zarcone & Sons,,,FALSE,,,,23 Grant St Buffalo . ,14213,
Mineo & Sapio Italian Sausage,,,FALSE,,,,410 Connecticut St Buffalo . ,14213,
Pellicano Markets,,,FALSE,,,,475 Fargo Ave #1 Buffalo . ,14213,
Redlinski Meats,,,FALSE,,,,19 Sienkiewicz St Buffalo . ,14212,
Sgambati Intl Sausages,,,FALSE,,,,2150 Niagara St Buffalo . ,14207,
Spar European Sausage & Meats,,,FALSE,,,,405 Amherst St Buffalo . ,14207,
Steve's Meats,,,FALSE,,,,1314 E Delavan Ave Buffalo . ,14215,
Federal Meats,,,FALSE,,,,2140 Delaware Ave Buffalo . ,14216,
Johnny's Meat Market,,,FALSE,,,,1191 Hertel Ave Buffalo . ,14216,
Pellicano Specialty Foods,,,FALSE,,,,195 Reading St Buffalo . ,14220,
Rite Price Market Inc,,,FALSE,,,,2484 Delaware Ave Buffalo . ,14216,
Penzys Spices,,,FALSE,,,,783 Elmwood Ave Buffalo . ,14222,
FLAT 12 Mushrooms,,,FALSE,,,,"37 Chandler St, Buffalo, NY 14207 . ",14207,"Sales at backdoor; open daily, 12:00-6:00 PM . "
Lexington Cooperative Market,,,FALSE,,,,"1678 Hertel Ave, Buffalo, NY 14216 . ",14216,
Green Farms Inc,,,FALSE,716-816-0035,,,"351 Potomac Ave, Buffalo, NY 14213 . ",14213,+1 716-816-0035 . 
Jd Price Rite Market,,,FALSE,716-885-2887,,www.priceritewestside.com,"326 W Delavan Ave, Buffalo, NY 14213 . ",14213,Website: www.priceritewestside.com . Phone: +1 716-885-2887 . 
D'youville Porter,Community gardens,,FALSE,,,,255 Porter Ave Buffalo . ,14201,
Dr. Antonia School of Excellence,Community gardens,,FALSE,,,,125 Hampshire St Buffalo . ,14213,
Hillery Park,Community gardens,,FALSE,,,,73 Pawnee Pkwy Buffalo . ,14210,
Frank Sedita,Community gardens,,FALSE,,,,21 Lowell Pl Buffalo . ,14213,
Harriett Ross Tubman,Community gardens,,FALSE,,,,195 Stanton St Buffalo . ,14212,
Harriett Ross Tubman,Community gardens,,FALSE,,,,193 Stanton St Buffalo . ,14212,
Harriett Ross Tubman,Community gardens,,FALSE,,,,191 Stanton St Buffalo . ,14212,
Bennett Park Montessori,Community gardens,,FALSE,,,,342 Clinton St Buffalo . ,14204,
Futures Academy,Community gardens,,FALSE,,,,157 Orange St Buffalo . ,14204,
Futures Academy,Community gardens,,FALSE,,,,155 Orange St Buffalo . ,14204,
Futures Academy,Community gardens,,FALSE,,,,136 Peach St Buffalo . ,14204,
Futures Academy,Community gardens,,FALSE,,,,288 Carlton St Buffalo . ,14204,
Futures Academy,Community gardens,,FALSE,,,,290 Carlton St Buffalo . ,14204,
Futures Academy,Community gardens,,FALSE,,,,294 Carlton St Buffalo . ,14204,
Futures Academy,Community gardens,,FALSE,,,,296 Carlton St Buffalo . ,14204,
Futures Academy,Community gardens,,FALSE,,,,300 Carlton St Buffalo . ,14204,
Futures Academy,Community gardens,,FALSE,,,,304 Carlton St Buffalo . ,14204,
Futures Academy,Community gardens,,FALSE,,,,306 Carlton St Buffalo . ,14204,
Lovejoy Discovery,Community gardens,,FALSE,,,,157 Gold St Buffalo . ,14206,
International,Community gardens,,FALSE,,,,141 Hoyt St Buffalo . ,14213,
Olmsted,Community gardens,,FALSE,,,,874 Amherst St Buffalo . ,14216,
Herman Badillo,Community gardens,,FALSE,,,,315 Carolina St Buffalo . ,14201,
Highgate Heights,Community gardens,,FALSE,,,,600 Highgate Ave Buffalo . ,14215,
Collegiate Academy,Community gardens,,FALSE,,,,756 St Lawrence Ave Buffalo . ,14216,
West Hertel Academy,Community gardens,,FALSE,,,,489 Hertel Ave Buffalo . ,14207,
Waterfront Elementary,Community gardens,,FALSE,,,,95 4th St Buffalo . ,14202,
Harvey Austin,Community gardens,,FALSE,,,,1405 Sycamore St Buffalo . ,14211,
Academy School,Community gardens,,FALSE,,,,425 South Park Ave Buffalo . ,14204,
Olmsted,Community gardens,,FALSE,,,,319 Suffolk St Buffalo . ,14215,
Pelion Community Garden at City Honors,Community gardens,,FALSE,,,,206 Best St Buffalo . ,14209,
Pelion Community Garden at City Honors,Community gardens,,FALSE,,,,208 Best St Buffalo . ,14209,
Pelion Community Garden at City Honors,Community gardens,,FALSE,,,,210 Best St Buffalo . ,14209,
Pelion Community Garden at City Honors,Community gardens,,FALSE,,,,212 Best St Buffalo . ,14209,
Bennet High,Community gardens,,FALSE,,,,2885 Main St Buffalo . ,14214,
Lafayette High,Community gardens,,FALSE,,,,370 Lafayette Ave Buffalo . ,14213,
East High,Community gardens,,FALSE,,,,835 Northampton St Buffalo . ,14211,
East High,Community gardens,,FALSE,,,,831 Northampton St Buffalo . ,14211,
Tapestry Charter School,Community gardens,,FALSE,,,,65 Great Arrow Ave Buffalo . ,14216,
Universal School,Community gardens,,FALSE,,,,1957 Genesee St Buffalo . ,14211,
Westminister Charter School,Community gardens,,FALSE,,,,24 Westminster Ave Buffalo . ,14215,
African Community Garden,Community gardens,,FALSE,,,,"52 Arnold St, Buffalo . ",14213,
Barakah Community Garden,Community gardens,,FALSE,,,,384 Sweet Ave . ,14211,
Blackrock Heritage Garden,Community gardens,,FALSE,,,,269 Dearborn St Buffalo . ,14207,
BMHA AD Price ComeUnity Garden,Community gardens,,FALSE,,,,45 Mortimer St Buffalo . ,14204,
BMHA Marine Drive Apartments,Community gardens,,FALSE,,,,147 Marine Dr Buffalo . ,14202,
BMHA Mullen Manor,Community gardens,,FALSE,,,,200 Mineral Springs Buffalo . ,14210,
BMHA Perry,Community gardens,,FALSE,,,,124 Fulton St Buffalo . ,14210,
BMHA Richmond Summer Senior Center,Community gardens,,FALSE,,,,"337 Summer St Buffalo, NY 14222 . ",14201,
Buffalo Niagara Medical Campus/MOOT Center,Community gardens,,FALSE,,,,292 High St Buffalo . ,14204,
Calvary Church,Community gardens,,FALSE,,,,1007 Ellicott St Buffalo . ,14209,
Cazenovia Community Resource Center/SAIL Buffalo,Community gardens,,FALSE,,,,2 Fuhrmann Blvd Buffalo . ,14202,
Cambridge Avenue Community Garden,Community gardens,,FALSE,,,,249 Cambridge Ave . ,14215,
Cottage Garden,Community gardens,,FALSE,,,,60 York St Buffalo . ,14213,
Edison Community Garden,Community gardens,,FALSE,,,,132 Edison Avenue . ,14215,
Endeavor Health Services,Community gardens,,FALSE,,,,1131 Broadway Buffalo . ,14212,
Erie County Youth Detention Center,Community gardens,,FALSE,,,,810 E Ferry St . ,14211,
Fargo Estate Garden,Community gardens,,FALSE,,,,272 Jersey St . ,14201,
Farmer's Garden,Community gardens,,FALSE,,,,104 Farmer St . ,14207,
Farmer's Garden,Community gardens,,FALSE,,,,108 Farmer St . ,14207,
First Presbyterian Church Garden,Community gardens,,FALSE,,,,9 St Johns Pl . ,14201,
Feedmore WNY Community Garden,Community gardens,,FALSE,,,,88 Holt St . ,14206,
Gazebo Park / Fruitbelt Coalition Inc.,Community gardens,,FALSE,,,,37 Mulberry St . ,14204,
Garden in the Sun,Community gardens,,FALSE,,,,382 Fargo Ave Buffalo . ,14213,
Garden of Stewardship,Community gardens,,FALSE,,,,59 Timon St Buffalo . ,14211,
Girard Place Garden of Love,Community gardens,,FALSE,,,,66 Girard Pl Buffalo . ,14211,
Girard Place Garden of Love,Community gardens,,FALSE,,,,72 Girard Pl Buffalo . ,14211,
JERS Community Garden,Community gardens,,FALSE,,,,117 Jewett Ave Buffalo . ,14214,
Greenwood Garden,Community gardens,,FALSE,,,,97 Greenwood Pl Buffalo . ,14213,
Greenwood Garden,Community gardens,,FALSE,,,,99 Greenwood Pl Buffalo . ,14213,
Humber,Community gardens,,FALSE,,,,852 E Delavan Ave Buffalo . ,14215,
Hutchinson Block Club,Community gardens,,FALSE,,,,221 Hutchinson Ave Buffalo . ,14215,
Brewster Street Farm,Community gardens,,FALSE,,,,119 Jewett Ave Buffalo . ,14214,
Jewish Family Services,Community gardens,,FALSE,,,,70 Barker St Buffalo . ,14209,
JW / Murphy Memorial Garden,Community gardens,,FALSE,,,,14 Herman St Buffalo . ,14212,
King Urban Life Center Community Garden,Community gardens,,FALSE,,,,914 Genesee St Buffalo . ,14211,
Lincoln Memorial United Church,Community gardens,,FALSE,,,,17 Florida St Buffalo . ,14208,
Lombard Clark Block Club,Community gardens,,FALSE,,,,71 Lombard St Buffalo . ,14212,
Lugar Hermoso de Pedro,Community gardens,,FALSE,,,,214 West Ave Buffalo . ,14201,
Lugar Hermoso de Pedro,Community gardens,,FALSE,,,,278 Hudson St Buffalo . ,14201,
MAP Youth Garden,Community gardens,,FALSE,,,,345 Breckenridge St Buffalo . ,14213,
Maryland Street Community Garden,Community gardens,,FALSE,,,,259 Maryland St Buffalo . ,14201,
Mayer Street Community Garden,Community gardens,,FALSE,,,,93 Mayer Ave Buffalo . ,14207,
Michigan Riley Farm,Community gardens,,FALSE,,,,108 Riley St Buffalo . ,14209,
Michigan Street Corridor,Community gardens,,FALSE,,,,517 Michigan Ave Buffalo . ,14204,
Michigan Street Corridor,Community gardens,,FALSE,,,,36 Nash St Buffalo . ,14204,
Mulberry and Friends,Community gardens,,FALSE,,,,124 Mulberry St Buffalo . ,14204,
Mulberry Garden,Community gardens,,FALSE,,,,220 Jersey St Buffalo . ,14201,
Old First Ward Community Garden,Community gardens,,FALSE,,,,104 Vincennes St Buffalo . ,14204,
Paderewski Community Garden,Community gardens,,FALSE,,,,400 Paderewski Dr Buffalo . ,14212,
Potomac Community Garden,Community gardens,,FALSE,,,,294 Potomac Ave Buffalo . ,14213,
Prospect Community Garden,Community gardens,,FALSE,,,,109 Prospect Ave Buffalo . ,14201,
Putnam Street Community Garden,Community gardens,,FALSE,,,,83 Putnam St Buffalo . ,14213,
Resurrection Garden,Community gardens,,FALSE,,,,"1609 Genesee St Buffalo, NY . ",14211,
Riverside Peace Garden,Community gardens,,FALSE,,,,179 Ontario St Buffalo . ,14207,
Rosa Gibson Garden of Love,Community gardens,,FALSE,,,,495 Northampton St Buffalo . ,14208,
Rosa Gibson Garden of Love,Community gardens,,FALSE,,,,493 Northampton St Buffalo . ,14208,
Rosa Gibson Garden of Love,Community gardens,,FALSE,,,,499 Northampton St Buffalo . ,14208,
Rosa Gibson Garden of Love,Community gardens,,FALSE,,,,501 Northampton St Buffalo . ,14208,
Seneca Babcock Neighborhood Community Garden,Community gardens,,FALSE,,,,1179 Seneca St Buffalo . ,14210,
Serenity Garden,Community gardens,,FALSE,,,,363 West Ave Buffalo . ,14201,
Shakespeare Garden,Community gardens,,FALSE,,,,453 Porter Ave Buffalo . ,14201,
South Fillmore Block Club,Community gardens,,FALSE,,,,74 Gibson St Buffalo . ,14206,
Spirit of Truth,Community gardens,,FALSE,,,,115 Gold St Buffalo . ,14206,
Square Community Garden & Farmer's Market,Community gardens,,FALSE,,,,1590 Fillmore Ave Buffalo . ,14211,
Square Community Garden & Farmer's Market,Community gardens,,FALSE,,,,17 Rickert Ave Buffalo . ,14211,
Square Community Garden & Farmer's Market,Community gardens,,FALSE,,,,19 Rickert Ave Buffalo . ,14211,
Square Community Garden & Farmer's Market,Community gardens,,FALSE,,,,21 Rickert Ave Buffalo . ,14211,
Trinity Tupper Community Garden,Community gardens,,FALSE,,,,209 W Tupper St Buffalo . ,14201,
Trinity Tupper Community Garden,Community gardens,,FALSE,,,,92 Trinity Pl Buffalo . ,14201,
Tyler Street Community Garden,Community gardens,,FALSE,,,,73 Tyler St Buffalo . ,14214,
University District Block Club Coalition Garden,Community gardens,,FALSE,,,,3259 Bailey Ave Buffalo . ,14215,
Valley Community Garden,Community gardens,,FALSE,,,,94 Leddy St Buffalo . ,14210,
Vermont Triangle Community Garden,Community gardens,,FALSE,,,,395 Vermont St Buffalo . ,14213,
Victoria Avenue Block Club,Community gardens,,FALSE,,,,195 Victoria Ave Buffalo . ,14214,
We Care Community Gardens,Community gardens,,FALSE,,,,622 Sycamore St Buffalo . ,14211,
We Care Community Gardens,Community gardens,,FALSE,,,,623 Sycamore St Buffalo . ,14212,
We Care Community Gardens,Community gardens,,FALSE,,,,621 Sycamore St Buffalo . ,14212,
We Care Community Gardens,Community gardens,,FALSE,,,,603 Sycamore St Buffalo . ,14212,
We Care Community Gardens,Community gardens,,FALSE,,,,601 Sycamore St Buffalo . ,14212,
We Care Community Gardens,Community gardens,,FALSE,,,,595 Sycamore St Buffalo . ,14212,
West Avenue Community Garden,Community gardens,,FALSE,,,,635 West Ave Buffalo . ,14213,
West Avenue Community Garden,Community gardens,,FALSE,,,,633 West Ave Buffalo . ,14213,
West Side Community Services,Community gardens,,FALSE,,,,161 Vermont St Buffalo . ,14213,
West Utica Garden,Community gardens,,FALSE,,,,244 W Utica St Buffalo . ,14222,
Winslow Avenue Block Club Memorial Garden,Community gardens,,FALSE,,,,132 Winslow Ave Buffalo . ,14208,
Winslow Avenue Block Club Memorial Garden,Community gardens,,FALSE,,,,130 Winslow Ave Buffalo . ,14208,
Winslow Avenue Block Club Memorial Garden,Community gardens,,FALSE,,,,136 Winslow Ave Buffalo . ,14208,
Woltz Community Garden,Community gardens,,FALSE,,,,94 Woltz Ave Buffalo . ,14212,
Woltz Community Garden,Community gardens,,FALSE,,,,96 Woltz Ave Buffalo . ,14212,
Osteria 166 ,Food Pantries,Nick Pitillo,TRUE,,nick@osteriabuffalo.com,,,,we have been in a holding pattern for some time.. 
March of Dimes,Food Pantries,Darcy Dreyer,TRUE,,ddreyer@marchofdimes.org,,,,I'm a member of the Alliance to End Hunger and work to increase WIC provisions and benefits.
Evergreen Health,Food Pantries,James Thompson,TRUE,,jthompson@evergreenhs.org,,,,"I run a wellness and nutrition education program where we provide nutrition education and grocery store voucher cards to patients living with chronic metabolic conditions like diabetes to coach them on healthier eating to improve their diabetes.  We also do other wellness activities like art therapy, yoga, and acupuncture.  "
Western New York Integrated Care Collaborative,,Nikki Kmicinski,TRUE,,nkmicinski@wnyicc.org,,,,Meal Delivery; Medically Tailored Meals; Medical Nutrition Therapy
Big Big Table,,Heather McCarthy,TRUE,,Heather@bigbigtable.org,,,,Promoting equitable access to nutritious food
Independent Health Foundation,,Melanie Goehle,TRUE,,mgoehle@independenthealth.com,,,,"Healthy Options Buffalo, Healthy Options at Home"
Community First Communications,,Ms. Della Miller,TRUE,,Foodlink716@gmail.com,,,,"I advocate for food justice, quality food for all communities, healthy food selection and preparation and understanding specific foods that intersect with health. "
UB Graduate Medical Education,,Susan Orrange,TRUE,,sorrange@buffalo.edu,,,,looking for opportunities to incorporate into GME curricula
"Veggie Van, CCE-Niagara",,Jen Regan,TRUE,,jcr284@cornell.edu,,,,"CCE- Niagara, Veggie Van and SNAP-Ed of WNY all works together in our FVRX program called Farmacy- in Niagara County."
Catholic Health,,Lauri McCoy,TRUE,,lmccoy1@chsbuffalo.org,,,,"Catholic Health has a Food Farmacy program at The Hub building on the D'Youville University campus, monthly food delivery days at the Mercy Comprehensive Care Center, Catholic Health providers screen for SDOH including food security and we are measuring screening rates and encouraging referrals using our electronic health record.  We also have a food table with donated items in our Mount St. Mary's Neighborhood Health Center in Niagara Falls.  "
"CHILab, Department of Community Health and Health Behavior, University at Buffalo",,Anne Lally,TRUE,,annelall@buffalo.edu,,,,"adjacent research on mobile market interventions, food access program development and evaluation, interest in produce prescription programs."
Jacobs School of Medicine and Biomedical Sciences ,,Daniel Baetzhold,TRUE,,djbaetzh@buffalo.edu,,,,"Co-president of JSMBS Food is Medicine chapter, research project to address needs of local food insecurity resources "
Cornell Cooperative Extension Erie County,,Sheila A. Bass,TRUE,,sab69@cornell.edu,,,,Healthy Community Store Initiative (HCSI) 
"Queen City Courier Solutions, LLC",,Rebecca Reilly,TRUE,,rreilly@qccouriers.com,,,,Implementation think tank
Independent Health Association,,Carly Spencer,TRUE,,carly.spencer@independenthealth.com,,,,"Independent Health is currently administering a Medically Tailored Meals benefit to eligible members, as well as a Food First program, offering credit for members to utilize grocery delivery services."
Univera Healthcare,,Broderick Cason,TRUE,,broderick.cason@univerahealthcare.com,,,,Medically Tailored Meals
Eat Well Buffalo,,Sally Gower,TRUE,,salgow@gmail.com,,,,Various programs with several organizations including Buffalo Prenatal Perinatal Network. Buffalo Public Schools Say Yes Saturday morning sessions K-8. 
Nuance/ Microsoft ,,Shannon Philbrick ,TRUE,,Shannon.Philbrick@nuance.com,,,,BNMC initiatives 
United Way of Buffalo & Erie County,,Mary K. Comtois,TRUE,,mary_k.comtois@uwbec.org,,,,Service Delivery Think Tank
Grassroots Gardens of WNY,,Adamaah Grayse,TRUE,,adamaah@grassrootsgardens.org,,,,Getting the city to adopt a vacant lot program that centers neighborhood input in lot distribution and use.
"Employed at SNAP-Ed, joining with personal interest",,Sarah Martin,TRUE,,skmartin135@gmail.com,,,,I work in community nutrition education
Erie Community College,,Dorothy Johnston ,TRUE,,Johnston@ecc.edu,,,,An AOS degree in Nutrition in Culinary Arts
Cyglera Health Systems Inc.,,Mick Majid,TRUE,,mickm@cyglera.com,,,,Developing a mobile app focusing on prevention and management of lifestyle chronic disease management using Food as Medicine. 
"University at Buffalo, School of Public Health & Health Professions",,Gary Giovino,TRUE,,ggiovino@buffalo.edu,,,,"Reviewing the literature to assess the state of the science on food, mental health, and addictions. "
Jacobs School of Medicine and Biomedical Sciences,,Lisa Jane Jacobsen,TRUE,,LJJacobs@buffalo.edu,,,,education but I see patients on Wednesdays when the group meets.
"Grassroots Gardens of WNY, UB School of Social Work",,Nicole Capozziello,TRUE,,nicolegrassrootsgardens@gmail.com,,,,N/A just starting as a member of this group
Buffalo Go Green/Urban Fruits & Veggies ,,Allison DeHonney ,TRUE,,adehonn@gmail.com ,,,,"FVRx, nutrition education, farming, healthy food access and options"
D'youville College,,Rachel Laster,TRUE,,lasterr@dyc.edu,,,,I am Program Director of a nutrition education grant
Queen City Courier Solutions,,Shane Paul,TRUE,,spaul@qccouriers.com,,,,Delivery planning
Field & Fork Network,,Nichole Borchard,TRUE,,nborchard@fieldandforknetwork.com,,,,We are working on healthy corner store initiatives in Niagara Falls and currently run a statewide Nutrition Incentive program that increases the consumption of healthy fresh produce among New York's most vulnerable populations.
Jacobs School,,Michael Morales,TRUE,,moralesm@buffalo.edu,,,,Curriculum development
University at Buffalo,,Roseanne Berger,TRUE,,Bergerrc@buffalo.edu,,,,Supporting medical student club and identifying educational opportunities
Roswell Park Comprehensive Cancer Center,,Helen Cappuccino,TRUE,,helencap@aol.com,,,,education advocacy
Independent Health Foundation ,,Brianna Wallenhorst,TRUE,,Brianna.wallenhorst@independenthealth.com,,,,"Meal kits, tower gardens, nut education "
Field & Fork Network,,Cooper Rohan,TRUE,,crohan@fieldandforknetwork.com,,,,Policy Initiatives and Support
Jacobs School of Medicine,,Jade Edwards ,TRUE,,Jadeedwa@buffalo.edu,,,,School Club Participation
Cornell cooperative extension of Erie county ,,Xyricka Ferry,TRUE,,Xbf2@cornell.edu,,,,Free nutrition education. 
Buffalo Go Green,,Rachel Grandits ,TRUE,,granditsra@gmail.com,,,,Education around produce for our farmers markets 
Catholic Charities WIC,,Kendra Hogan,TRUE,,Kendra.hogan@ccwny.org,,,,Just joining today
FreshFix ,,Kristie Chamberlain ,TRUE,,Kristie@freshfix.com ,,,,Local produce home delivery 
Evergreen Health,,Helen,TRUE,,hgraves@evergreenhs.org,,,,I lead health education groups surrounding several health topics including nutrition 
Evergreen Health,,Sarah Stimpson,TRUE,,Sstimpson@evergreenhs.org,,,,Service based- MNT counseling for Diabetic patients 
New York Health Foundation,,Julia McCarthy,TRUE,,mccarthy@nyhealthfoundation.org,,,,support through philanthropic dollars
Aunt Connie's Ed-U-Kitchen LLC,,Connie Ervin,TRUE,,jwedukitchen@gmail.com,,,,Providing instruction for healthy eating
Catholic Health,,Lauri McCoy,TRUE,,lauri.mccoy1@chsbuffalo.org,,,,Support efforts at our Food Farmacy and food delivery efforts as well as coordinated our Community Health Needs Assessment for 2022-2024 which includes priorities and strategies related to food insecurity.
University at Buffalo,,Alison Vargovich,TRUE,,alisonva@buffalo.edu,,,,Motivational interviewing training for medical students to better discuss lifestyle changes with patients
Buffalo State University,,Carol DeNysschen,TRUE,,denyssca@buffalostate.edu,,,,Nothing currently
My Grandmother's Garden LLC,,Kamilah Whitfield ,TRUE,,Mgmggrows@gmail.com ,,,,"I am new to the organization,  I have yet to identify how I can contribute. I look forward to finding my path within the organization. I'm working on opening a grocery store to address a need in my community. The store will also have a dedicated space to host a Nutrition Info-tainment Program, teaching nutrition in a fun, engaging way. I believe that food is medicine and want to educate and empower and get community members excited about nutrition. "
Raw Truth Integrative Health,,Robbie Raugh,TRUE,,theraughtruth@gmail.com,,,,I am a Nutrition Specialist and Registered Nurse running Nutrition classes and seeing patients for health and nutrition needs
"Kaleida Health, Buffalo Ultrasound and Preventive Diagnostics ",,"Robert Gatewood, MD",TRUE,,rgatewood007@gmail.com,,,,Teaching medical students and interested in creating a UB anchor institute/strategy to improve the health of our surrounding communities.
Cornell Cooperative Extension/Harvest NY,,Mallory Hohl,TRUE,,mdh286@cornell.edu,,,,Education and Delivery/Implementation
Cornell Cooperative Extension of Genesee County,,Jen Reardon,TRUE,,jdr38@cornell.edu,,,,nothing specifically
Univera Healthcare ,Medically tailored meals,Broderick Cason ,TRUE,,205 Park Club Lane ,,,,Medically Tailored Meals
Grassroots Gardens WNY,,Adamaah Grayse,TRUE,,adamaah@grassrootsgardens.org,,,,"Food equity access in Buffalo, NY "
Buffalo Freedom Gardens ,,Gail V Wells ,TRUE,,wellsgv7@gmail.com,,,,I am the founder of Buffalo Freedom Gardens find on FaceBook and Instagram 
"General Physician PC, Season Health",,Kelly Cardamone,TRUE,,kellycardamone@gmail.com,,,,Clinical RDN Manager at the premier FAM digital platform: Season Health
"Roswell Park Comprehensive Cancer Center, Jacobs School of Medicine, Chaine des Rotisseurs food and wine society",,Helen Cappuccino,TRUE,,helencapp@aol.com,,,,"exploring, happy to help in all areas where MD input can help"
Jericho Road Community Health Center Medically Oriented Gym,,Kennedy George,TRUE,,kennedy.george@jrchc.org,,,,"Fruit and Vegetable Prescription Classes, Monthly community workshops that involve nutrition demonstrations and grocery gift card incentives, helping community members apply for SNAP benefits"
Cornell Cooperative Extension - Harvest NY,,Becky O'Connor,TRUE,,rao84@cornell.edu,,,,My current work focuses on Farm to School. I have worked with Pandion group on increasing local procurement in their facilities through a partnership with Produce Peddlers.
Cornell Cooperative Extension Harvest NY,,Mallory Hohl,TRUE,,mdh286@cornell.edu,,,,education and implementation groups
Highmark Health,,Doris Carbonell-Medina,TRUE,,doris.carbonellmedina@highmarkhealth.org,,,,"looking to pilot a food insecure project with primary care providers in WNY, Empower Buffalo launch in June 2023 & collaboration w/ CBO's on a maternal health project focused on improving maternal health outcomes with a focus on food insecurity & mental health. "
Catholic Health,,Lauri McCoy,TRUE,,lmccoy1@chsbuffalo.org,,,,Health System hosts food distribution events at a few of our clinic locations.  We also have a collaboration with FeedMore and D'Youville that oversees a Food Farmacy program in conjunction with an on site food pantry.  Catholic Health also includes SDOH screening in our electronic health records assessments in provider offices who are on our systemwide EMR.
"Mary Jo V Parker, MS  RD  CDN",Registered Dietitians,"Mary Jo V Parker, MS  RD  CDN",FALSE,716/634-0906,info@maryjoparker.com,http://maryjoparker.com/,"Nutrition and Counseling Services
8160 Wehrle DR
Williamsville, NY",14221-7241,"In-Person, Telehealth"
Wendy L Scime,Registered Dietitians,Wendy L Scime,FALSE,716/626-7415,INFO@CUSTOMDIETETICS.COM,https://customdietetics.com/,"Custom Dietetics
2801 Wehrle DR
Williamsville, NY",14221-7381,"In-Person, Telehealth"
"June R Seaman-Knoerzer, RD  CDN",Registered Dietitians,"June R Seaman-Knoerzer, RD  CDN",FALSE,716/626-5250,june@jsknutrition.com,http://www.gastrowny.com/,"Gastroenterology Associates, LLP
60 Maple RD
Buffalo, NY",14221-2917,In-Person
"June R Seaman-Knoerzer, RD  CDN",Registered Dietitians,"June R Seaman-Knoerzer, RD  CDN",FALSE,716/481-6822,june@jsknutrition.com,http://www.gastrowny.com/,"Private Practice
390 Harris Hill RD
Buffalo, NY",14221-7407,In-Person
"Maria Ines Aguero De Manunta , MS  RD  CDCES  CDN",Registered Dietitians,"Maria Ines Aguero De Manunta , MS  RD  CDCES  CDN",FALSE,716/271-7249,mariamanunta@gmail.com,https://marialifestylenutrition.com/,,,"In-Person, Telehealth"
"Sheila M Flavin, RD",Registered Dietitians,"Sheila M Flavin, RD",FALSE,716/472-2955,sheila.flavin@gmail.com,https://www.eatright.org/www.sheilaflavinrd.com,"2430 North Forest Rd
Getzville, NY",14068,In-Person
"Sheila M Flavin, RD",Registered Dietitians,"Sheila M Flavin, RD",FALSE,716/472-2955,sheila.flavin@gmail.com,https://www.eatright.org/www.sheilaflavinrd.com,"2430 North Forest Rd, Suite 140
Amherst, NY",14068,In-Person
"Dawn R Copperthite, RD  CDN",Registered Dietitians,"Dawn R Copperthite, RD  CDN",FALSE,716/228-8163,dcopper1@msn.com,https://dawnthedietitian.com/,"300 International DR Ste 100
Williamsville, NY",14221-5783,"In-Person, Telehealth"
"Francesco Giardina, RDN",Registered Dietitians,"Francesco Giardina, RDN",FALSE,,frank@smartnutritionbyfrank.com,http://www.smartnutritionbyfrank.com/,"SMART Nutrition by Frank
5500 Main ST Ste 225
Williamsville, NY",14221-6737,In-Person
"Catherine Frances Brown, MS  RD  CDN",Registered Dietitians,"Catherine Frances Brown, MS  RD  CDN",FALSE,929/445-2543,info@flourishnutrition.io,https://www.flourishnutrition.io/catherine,"Flourish Nutrition
4446 Main ST
Buffalo, NY ",14226-4406,"In-Person, Telehealth"
"Danielle S Meyer, MS  RDN  CDN",Registered Dietitians,"Danielle S Meyer, MS  RDN  CDN",FALSE,716/829-5652,dsmeyer@buffalo.edu,,,,In-Person
"Jennifer A Turesky, MS RDN CDCES CDN",Registered Dietitians,"Jennifer A Turesky, MS RDN CDCES CDN",FALSE,716/481-6822,jat8780@aol.com,,"451 Casey Rd
East Amherst, NY",14051-1434,"In-Person, Telehealth"
"Laura K Toczek, MBA RDN CDN",Registered Dietitians,"Laura K Toczek, MBA RDN CDN",FALSE,716/390-9090,ltoczek8@gmail.com,,"49 Middlebury LN
Lancaster, NY",14086-1547,"In-Person, Telehealth"
"Laura K Toczek, MBA RDN CDN",Registered Dietitians,"Laura K Toczek, MBA RDN CDN",FALSE,716/390-9090,ltoczek8@gmail.com,,"Loretto
700 E Brighton Ave
Syracuse, NY",13205-2201,"In-Person, Telehealth"
"Beeta S Fernando, MS CDE",Registered Dietitians,"Beeta S Fernando, MS CDE",FALSE,716/783-0070,ablsfernando@yahoo.com,,,,In-Person
"Coral C Clarke, RDN IFNCP CDN",Registered Dietitians,"Coral C Clarke, RDN IFNCP CDN",FALSE,716/464-2508,Coral@CoralClarke.com,https://www.coralclarke.com/,,,"In-Person, Telehealth"
"Elizabeth Ann Hartz, MS RDN CDN",Registered Dietitians,"Elizabeth Ann Hartz, MS RDN CDN",FALSE,716/531-5207,elizabeth@functionalnutritionpllc.com,,"1870 Upper Mountain RD
Lewiston, NY",14092-9742,In-Person
"Amy M Shults, RD CDCES",Registered Dietitians,"Amy M Shults, RD CDCES",FALSE,716/266-6056,amy@AMSnutritioncounseling.com,https://www.amsnutritioncounseling.com/,"6411b Dysinger RD
Lockport, NY",14094,"In-Person, Telehealth"
